jaar inkomen; maximale hypotheek
0;0
1000; 3125
5000; 15624
10000; 31249
15000; 46873
20000; 62498
25373; 79278
26000; 81247
27000; 91033
28000; 101312
29000; 112085
30000; 120884
31000; 124913
32000; 128943
33000; 132972
34000; 137002
35000; 141031
36000; 145060
37000; 149090
38000; 153119
39000; 157149
40000; 161178
41000; 165208
42000; 169237
43000; 173267
44000; 177296
45000; 181326
46000; 185355
47000; 189384
48000; 193414
49000; 197443
50000; 201473
51000; 205502
52000; 209532
53000; 213561
54000; 217591
55000; 226143
56000; 230255
57000; 239054
58000; 243248
59000; 252293
60000; 256570
61000; 265862
62000; 270220
63000; 274579
64000; 278937
65000; 283295
66000; 293081
67000; 297522
68000; 301963
69000; 312007
70000; 316000
71000; 321123
72000; 331567
73000; 336172
74000; 340777
75000; 345382
81000; 379674
100000; 485179
110000; 542734
200000; 986805
300000; 1480209
400000; 1973612
1000000; 4934029
